Filename	Ni50Fe27Ga23 11_1 s1
4.61	50.6755	0.175220	40.39	0.175242
4.63	51.4726	0.176685	40.39	0.176707
4.65	51.5907	0.176295	40.39	0.176318
4.67	51.7814	0.177874	40.39	0.177896
4.69	52.2740	0.177580	40.39	0.177603
4.71	52.3881	0.179473	40.39	0.179495
4.73	52.5888	0.179004	40.39	0.179027
4.75	52.6496	0.181569	40.39	0.181591
4.77	53.1231	0.182010	40.39	0.182033
4.79	53.1447	0.183450	40.39	0.183473
4.81	53.4800	0.183538	40.39	0.183560
4.83	53.3967	0.183996	40.39	0.184019
4.85	53.6402	0.184017	40.39	0.184039
4.87	53.9807	0.183874	40.39	0.183896
4.89	53.9629	0.185606	40.39	0.185628
4.91	54.5975	0.186618	40.39	0.186640
4.93	54.5820	0.188515	40.39	0.188537
4.95	54.6568	0.188622	40.39	0.188645
4.97	55.0006	0.188420	40.39	0.188442
4.99	55.5274	0.184432	40.39	0.184454
5.01	55.4628	0.187650	40.39	0.187672
5.03	55.9348	0.193714	40.39	0.193736
5.05	56.0746	0.195499	40.39	0.195521
5.07	56.0482	0.200050	40.39	0.200072
5.09	56.3826	0.196875	40.39	0.196897
5.11	56.7215	0.196625	40.39	0.196647
5.13	57.4085	0.191467	40.39	0.191489
5.15	57.3340	0.192685	40.39	0.192707
5.17	57.6037	0.194675	40.39	0.194697
5.19	57.9153	0.200309	40.39	0.200332
5.21	58.2839	0.203327	40.39	0.203349
5.23	58.5763	0.204717	40.39	0.204739
5.25	58.5515	0.203482	40.39	0.203504
5.27	58.9195	0.200610	40.39	0.200633
5.29	59.2488	0.198924	40.39	0.198946
5.31	59.4919	0.199275	40.39	0.199297
5.33	58.8903	0.200550	40.39	0.200573
5.35	58.9331	0.204078	40.39	0.204101
5.37	59.2971	0.205169	40.39	0.205191
5.39	59.7125	0.208442	40.39	0.208464
5.41	59.7633	0.207611	40.40	0.207633
5.43	59.7731	0.209135	40.40	0.209157
5.45	60.3557	0.207925	40.40	0.207948
5.47	60.1402	0.208707	40.40	0.208729
5.49	60.6937	0.208465	40.40	0.208487
5.51	61.0790	0.208331	40.40	0.208353
5.53	60.8131	0.209864	40.40	0.209887
5.55	61.3082	0.209204	40.40	0.209226
5.57	61.6190	0.211723	40.40	0.211745
5.59	61.5984	0.212451	40.40	0.212473
5.61	62.1300	0.215365	40.40	0.215387
5.63	62.1982	0.216294	40.40	0.216317
5.65	62.7210	0.216887	40.40	0.216910
5.67	62.4573	0.216897	40.40	0.216919
5.69	63.0418	0.215675	40.40	0.215697
5.71	63.0382	0.216493	40.40	0.216516
5.73	63.7403	0.216442	40.40	0.216464
5.75	63.4879	0.218979	40.40	0.219001
5.77	64.0221	0.218993	40.40	0.219016
5.79	64.2011	0.220722	40.40	0.220744
5.81	64.3843	0.221164	40.40	0.221186
5.83	64.8892	0.222159	40.40	0.222181
5.85	64.6799	0.224482	40.40	0.224504

[step]
IsoStress - 2
Step time	Stress	Strain	Temperature	Strain (step)
s	MPa	%	°C	%
0.50	65.2769	0.226623	40.40	0.00000
1.50	65.2271	0.228344	40.41	1.72103e-3
2.50	65.0961	0.229432	40.41	2.80929e-3
3.50	65.0048	0.230346	40.42	3.72348e-3
4.50	65.2243	0.231231	40.42	4.60853e-3
5.50	65.4501	0.231191	40.42	4.56796e-3
6.50	65.2276	0.231497	40.43	4.87425e-3
7.50	65.0917	0.231565	40.43	4.94250e-3
8.50	65.0933	0.232155	40.44	5.53196e-3
9.50	65.0687	0.232234	40.44	5.61100e-3
10.50	65.2357	0.232223	40.45	5.59995e-3
11.50	65.2824	0.232329	40.45	5.70649e-3
12.50	65.0195	0.232493	40.46	5.87016e-3
13.50	65.0075	0.232788	40.46	6.16476e-3
14.50	65.0111	0.232827	40.47	6.20395e-3
15.50	65.1797	0.232655	40.47	6.03224e-3
16.50	65.1006	0.232620	40.48	5.99689e-3
17.50	64.9802	0.232766	40.48	6.14265e-3
18.50	64.7992	0.232954	40.49	6.33104e-3
19.50	65.0164	0.232899	40.49	6.27654e-3
20.50	65.0982	0.232625	40.49	6.00231e-3
21.50	64.9823	0.232886	40.50	6.26321e-3
22.50	64.8556	0.232954	40.50	6.33110e-3
23.50	64.8188	0.233108	40.51	6.48527e-3
24.50	64.8921	0.233178	40.51	6.55554e-3
25.50	65.0250	0.232914	40.51	6.29119e-3
26.50	64.8713	0.232793	40.52	6.17030e-3
27.50	64.6674	0.232687	40.52	6.06443e-3
28.50	64.5802	0.232910	40.52	6.28716e-3
29.50	64.7957	0.232970	40.53	6.34732e-3
30.50	64.9569	0.232753	40.53	6.13050e-3
31.50	64.8245	0.232496	40.54	5.87347e-3
32.50	64.6507	0.232443	40.54	5.81979e-3
33.50	64.4875	0.232825	40.54	6.20208e-3
34.50	64.8961	0.232890	40.55	6.26740e-3
35.50	64.8470	0.232644	40.55	6.02086e-3
36.50	64.9473	0.232617	40.55	5.99373e-3
37.50	65.0979	0.232935	40.56	6.31177e-3
38.50	64.8056	0.232972	40.56	6.34962e-3
39.50	64.9122	0.232913	40.56	6.28994e-3
40.50	65.1038	0.232822	40.57	6.19867e-3
41.50	64.8721	0.232795	40.57	6.17247e-3
42.50	64.7973	0.232452	40.57	5.82951e-3
43.50	64.5271	0.232626	40.58	6.00294e-3
44.50	64.9020	0.232752	40.58	6.12921e-3
45.50	64.9029	0.232545	40.58	5.92174e-3
46.50	64.8067	0.232449	40.59	5.82635e-3
47.50	64.5811	0.232167	40.59	5.54369e-3
48.50	64.5548	0.232776	40.59	6.15275e-3
49.50	65.0861	0.233025	40.60	6.40253e-3
50.50	65.0081	0.232531	40.60	5.90834e-3
51.50	64.7912	0.232489	40.60	5.86572e-3
52.50	64.7473	0.232532	40.61	5.90941e-3
53.50	64.6404	0.232824	40.61	6.20080e-3
54.50	64.8149	0.232658	40.61	6.03547e-3
55.50	65.0828	0.232845	40.62	6.22184e-3
56.50	65.0111	0.232830	40.62	6.20739e-3
57.50	65.0056	0.232812	40.63	6.18942e-3
58.50	64.9591	0.233226	40.64	6.60331e-3
59.50	65.2217	0.233157	40.65	6.53421e-3
60.50	65.2307	0.232827	40.66	6.20378e-3
61.50	65.1611	0.232783	40.67	6.15986e-3
62.50	65.2282	0.233063	40.68	6.44047e-3
63.50	65.0483	0.233197	40.68	6.57398e-3
64.50	65.3070	0.233368	40.69	6.74474e-3
65.50	65.2579	0.232765	40.69	6.14212e-3
66.50	64.9955	0.232337	40.70	5.71429e-3
67.50	65.0426	0.232413	40.71	5.79031e-3
68.50	64.8359	0.232552	40.72	5.92958e-3
69.50	65.1069	0.232270	40.74	5.64675e-3
70.50	65.1927	0.231893	40.75	5.26987e-3
71.50	65.1584	0.231820	40.76	5.19673e-3
72.50	65.1207	0.232219	40.76	5.59591e-3
73.50	65.0544	0.232476	40.77	5.85296e-3
74.50	65.3172	0.232536	40.78	5.91268e-3
75.50	65.4786	0.232333	40.79	5.71050e-3
76.50	65.2865	0.232224	40.80	5.60127e-3
77.50	65.2523	0.232154	40.81	5.53075e-3
78.50	64.9730	0.232067	40.82	5.44396e-3
79.50	65.3760	0.231970	40.84	5.34704e-3
80.50	65.3814	0.231738	40.85	5.11468e-3
81.50	65.1483	0.231394	40.86	4.77135e-3
82.50	65.0803	0.231643	40.86	5.02054e-3
83.50	65.0576	0.231841	40.87	5.21847e-3
84.50	65.2423	0.231605	40.88	4.98228e-3
85.50	65.3177	0.231273	40.89	4.64981e-3
86.50	65.2006	0.231066	40.90	4.44320e-3
87.50	65.1054	0.230906	40.92	4.28350e-3
88.50	64.9793	0.231078	40.93	4.45490e-3
89.50	65.1462	0.230755	40.94	4.13219e-3
90.50	65.0920	0.230407	40.95	3.78440e-3
91.50	64.9609	0.230231	40.96	3.60789e-3
92.50	64.8097	0.230290	40.97	3.66682e-3
93.50	64.8198	0.230551	40.98	3.92830e-3
94.50	64.9585	0.230359	40.99	3.73573e-3
95.50	65.1996	0.230117	41.00	3.49383e-3
96.50	64.9614	0.229780	41.02	3.15725e-3
97.50	64.8257	0.229834	41.03	3.21074e-3
98.50	64.6288	0.229894	41.04	3.27079e-3
99.50	65.1276	0.229896	41.05	3.27315e-3
100.50	64.9540	0.229195	41.06	2.57229e-3
101.50	64.8059	0.228989	41.07	2.36583e-3
102.50	64.7471	0.229373	41.09	2.74970e-3
103.50	64.7859	0.229705	41.10	3.08226e-3
104.50	65.1196	0.229338	41.11	2.71544e-3
105.50	65.0582	0.229079	41.12	2.45596e-3
106.50	65.0084	0.229239	41.13	2.61626e-3
107.50	64.9293	0.229179	41.14	2.55636e-3
108.50	64.7200	0.229200	41.15	2.57741e-3
109.50	64.8868	0.228605	41.17	1.98197e-3
110.50	64.8721	0.228484	41.18	1.86101e-3
111.50	64.8778	0.228342	41.19	1.71954e-3
112.50	64.7104	0.228387	41.20	1.76368e-3
113.50	64.8207	0.228862	41.21	2.23958e-3
114.50	64.7484	0.228049	41.22	1.42650e-3
115.50	64.9559	0.227915	41.24	1.29174e-3
116.50	64.9177	0.227976	41.25	1.35316e-3
117.50	64.6852	0.227970	41.26	1.34678e-3
118.50	64.5250	0.227968	41.27	1.34505e-3
119.50	64.8476	0.227595	41.28	9.72076e-4
120.50	64.8722	0.227456	41.29	8.32790e-4
121.50	64.8008	0.227492	41.31	8.68965e-4
122.50	64.7018	0.227674	41.32	1.05151e-3
123.50	64.6540	0.227918	41.33	1.29514e-3
124.50	65.0346	0.227896	41.34	1.27308e-3
125.50	65.2242	0.227490	41.36	8.67368e-4
126.50	64.8830	0.227248	41.37	6.25360e-4
127.50	64.8135	0.227108	41.38	4.84837e-4
128.50	64.6449	0.227271	41.39	6.47995e-4
129.50	65.1444	0.227164	41.40	5.41079e-4
130.50	64.9386	0.226782	41.42	1.58895e-4
131.50	64.8793	0.226731	41.43	1.08374e-4
132.50	64.8158	0.226871	41.44	2.47661e-4
133.50	64.9324	0.227218	41.45	5.94697e-4
134.50	65.2068	0.226926	41.47	3.02889e-4
135.50	65.1681	0.226612	41.48	-1.05541e-5
136.50	64.9627	0.226399	41.49	-2.23845e-4
137.50	64.7047	0.226313	41.50	-3.10347e-4
138.50	64.7911	0.226686	41.52	6.32970e-5
139.50	65.0286	0.226380	41.53	-2.43120e-4
140.50	65.1194	0.226293	41.54	-3.30025e-4
141.50	65.0313	0.226141	41.56	-4.82143e-4
142.50	64.8946	0.226262	41.57	-3.60465e-4
143.50	64.9440	0.226696	41.58	7.28512e-5
144.50	65.2822	0.226271	41.59	-3.52119e-4
145.50	65.0585	0.225911	41.61	-7.12070e-4
146.50	64.8991	0.225715	41.62	-9.08127e-4
147.50	64.7884	0.225685	41.63	-9.37942e-4
148.50	64.7833	0.226155	41.65	-4.67923e-4
149.50	65.2702	0.225999	41.66	-6.24179e-4
150.50	65.2164	0.225941	41.67	-6.82144e-4
151.50	65.0850	0.225823	41.69	-7.99378e-4
152.50	64.8796	0.225557	41.70	-1.06630e-3
153.50	64.8459	0.225721	41.71	-9.02322e-4
154.50	65.0632	0.225430	41.73	-1.19262e-3
155.50	64.8679	0.224857	41.74	-1.76625e-3
156.50	64.7207	0.224615	41.76	-2.00802e-3
157.50	64.7404	0.224715	41.77	-1.90771e-3
158.50	64.6981	0.224942	41.78	-1.68133e-3
159.50	64.8869	0.224479	41.80	-2.14413e-3
160.50	64.9527	0.224296	41.81	-2.32728e-3
161.50	64.8343	0.224191	41.82	-2.43166e-3
162.50	64.7433	0.224471	41.84	-2.15186e-3
163.50	64.7394	0.224846	41.85	-1.77727e-3
164.50	65.0095	0.224370	41.87	-2.25262e-3
165.50	65.0099	0.224329	41.88	-2.29433e-3
166.50	64.8455	0.224250	41.89	-2.37264e-3
167.50	64.8380	0.224296	41.91	-2.32682e-3
168.50	64.6348	0.224453	41.92	-2.16972e-3
169.50	65.2484	0.224329	41.94	-2.29394e-3
