[Connect DataFile][2.1]
Date:	5/16/2025
Time:	09:05:11
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:03.850	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:549		
000:00:03.900	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:599		
000:00:03.950	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:649		
000:00:04.000	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:699		
000:00:04.050	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:749		
000:00:04.100	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:799		
000:00:04.150	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:849		
000:00:04.200	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:899		
000:00:04.250	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:949		
000:00:04.300	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:999		
000:00:04.350	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:049		
000:00:04.400	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:099		
000:00:04.450	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:149		
000:00:04.500	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:16:199		
