[Connect DataFile][2.1]
Date:	3/13/2025
Time:	09:14:48
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:04.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:065		
000:00:04.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:115		
000:00:04.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:165		
000:00:04.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:215		
000:00:04.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:265		
000:00:04.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:315		
000:00:04.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:365		
000:00:04.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:415		
000:00:04.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:465		
000:00:04.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:515		
000:00:04.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:565		
000:00:04.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:615		
000:00:05.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:665		
000:00:05.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:715		
000:00:05.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:765		
000:00:05.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:815		
000:00:05.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:865		
000:00:05.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:915		
000:00:05.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:965		
000:00:05.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:015		
000:00:05.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:065		
000:00:05.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:115		
000:00:05.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:165		
000:00:05.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:215		
000:00:05.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:265		
000:00:05.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:315		
000:00:05.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:365		
000:00:05.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:415		
000:00:05.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:465		
000:00:05.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:515		
000:00:05.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:565		
000:00:05.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:615		
000:00:06.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:665		
000:00:06.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:715		
000:00:06.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:765		
000:00:06.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:815		
000:00:06.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:865		
000:00:06.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:915		
000:00:06.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:54:965		
000:00:06.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:015		
000:00:06.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:065		
000:00:06.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:115		
000:00:06.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:165		
000:00:06.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:215		
000:00:06.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:265		
000:00:06.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:315		
000:00:06.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:365		
000:00:06.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:55:415		
