Displacement	Load	Strain	Stress
mm	g	%	MPa
1.8	0.104	2.660217654	3.4503303126
1.7	0.081	2.418379686	2.6872764935
1.6	0.027	2.176541717	0.8957588312
1.5	0.006	1.934703748	0.199057518
1.4	-0.004	1.69286578	-0.132705012
1.3	-0.01	1.451027811	-0.3317625301
1.2	-0.008	1.209189843	-0.265410024
1.1	-0.019	0.967351874	-0.6303488071
1	-0.025	0.725513906	-0.8294063252
0.9	-0.019	0.483675937	-0.6303488071
0.8	-0.031	0.241837969	-1.0284638432
0.7	-0.019	0	-0.6303488071
0.6	-0.019	-0.241837969	-0.6303488071
0.5	-0.019	-0.483675937	-0.6303488071
0.4	-0.019	-0.725513906	-0.6303488071
0.3	-0.019	-0.967351874	-0.6303488071
0.2	-0.019	-1.209189843	-0.6303488071
0.1	-0.019	-1.451027811	-0.6303488071
0	-0.019	-1.69286578	-0.6303488071
