Sample Name, Ga23_5_4_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.886288E+1,2.821500E+3,1.132500E-6,-7.152590E-7,1.339459E-6,-3.227549E+1
3.906288E+1,2.831700E+3,5.662480E-7,1.132500E-6,1.266173E-6,6.343503E+1
3.926195E+1,2.852000E+3,3.874320E-7,2.592820E-6,2.621606E-6,8.150146E+1
3.946287E+1,2.861500E+3,-9.238760E-7,2.473610E-6,2.640510E-6,1.104803E+2
3.966188E+1,2.871300E+3,-1.370910E-6,2.741830E-6,3.065457E-6,1.165650E+2
3.986191E+1,2.894800E+3,6.854570E-7,1.668940E-6,1.804221E-6,6.767136E+1
4.006192E+1,2.903900E+3,1.728540E-6,2.443800E-6,2.993327E-6,5.472760E+1
4.026192E+1,2.924900E+3,1.162300E-6,2.861040E-6,3.088121E-6,6.789051E+1
4.046192E+1,2.934400E+3,3.278270E-7,2.563010E-6,2.583891E-6,8.271105E+1
4.066191E+1,2.958300E+3,1.490130E-7,1.609330E-6,1.616214E-6,8.470989E+1
4.086298E+1,2.967400E+3,8.642710E-7,1.579530E-6,1.800522E-6,6.131386E+1
4.106193E+1,2.978500E+3,7.450620E-7,1.281510E-6,1.482358E-6,5.982655E+1
4.126288E+1,3.000600E+3,1.788150E-6,1.430520E-6,2.289949E-6,3.865981E+1
4.146288E+1,3.010900E+3,2.473610E-6,1.281510E-6,2.785860E-6,2.738744E+1
4.166190E+1,3.021900E+3,2.473610E-6,2.264990E-6,3.353942E-6,4.247914E+1
4.186188E+1,3.043600E+3,1.996770E-6,1.817950E-6,2.700376E-6,4.231615E+1
4.206192E+1,3.054900E+3,1.072890E-6,1.460320E-6,1.812078E-6,5.369546E+1
4.226190E+1,3.074200E+3,-2.086170E-7,1.221900E-6,1.239581E-6,9.968878E+1
4.246188E+1,3.085300E+3,3.576300E-7,2.384200E-7,4.298178E-7,3.369007E+1
4.266191E+1,3.106600E+3,7.450620E-7,1.043090E-6,1.281856E-6,5.446241E+1
4.286291E+1,3.117800E+3,1.162300E-6,1.698740E-6,2.058315E-6,5.561956E+1
4.306191E+1,3.137100E+3,2.264990E-6,3.457080E-6,4.132987E-6,5.676821E+1
4.326292E+1,3.148300E+3,2.980250E-6,3.278270E-6,4.430456E-6,4.772627E+1
4.346188E+1,3.167500E+3,3.695500E-6,6.854570E-7,3.758533E-6,1.050804E+1
4.366191E+1,3.178500E+3,3.993540E-6,-2.980250E-7,4.004645E-6,-4.267888E+0
4.386288E+1,3.198200E+3,4.708800E-6,-3.874320E-7,4.724712E-6,-4.703604E+0
4.406192E+1,3.208400E+3,3.695500E-6,-4.768410E-7,3.726137E-6,-7.352414E+0
4.426191E+1,3.217400E+3,7.450620E-7,-6.556550E-7,9.924721E-7,-4.134780E+1
4.446288E+1,3.243600E+3,-3.278270E-7,-2.980250E-8,3.291789E-7,-1.748056E+2
4.466192E+1,3.253700E+3,-1.400720E-6,-2.682230E-7,1.426170E-6,-1.691597E+2
4.486188E+1,3.265800E+3,-5.364450E-7,5.066430E-7,7.378756E-7,1.366366E+2
4.506188E+1,3.286800E+3,1.877550E-6,2.324600E-6,2.988136E-6,5.107263E+1
4.526188E+1,3.298900E+3,2.622620E-6,1.281510E-6,2.918973E-6,2.604186E+1
4.546191E+1,3.309500E+3,3.397480E-6,4.768410E-7,3.430779E-6,7.989355E+0
4.566288E+1,3.332000E+3,4.142550E-6,3.874320E-7,4.160628E-6,5.343046E+0
4.586188E+1,3.341700E+3,3.039850E-6,1.907360E-6,3.588692E-6,3.210630E+1
4.606190E+1,3.365000E+3,2.414000E-6,1.877550E-6,3.058200E-6,3.787490E+1
4.626288E+1,3.374000E+3,2.473610E-6,7.450620E-7,2.583382E-6,1.676253E+1
4.646188E+1,3.385100E+3,2.592820E-6,1.072890E-6,2.806031E-6,2.247942E+1
4.666192E+1,3.404500E+3,1.430520E-6,1.817950E-6,2.313294E-6,5.180128E+1
4.686293E+1,3.415800E+3,1.221900E-6,2.682220E-6,2.947430E-6,6.550810E+1
4.706202E+1,3.437200E+3,2.384200E-6,2.026570E-6,3.129121E-6,4.036454E+1
4.726188E+1,3.448300E+3,2.145780E-6,1.281510E-6,2.499328E-6,3.084664E+1
4.746288E+1,3.467600E+3,2.264990E-6,-7.748640E-7,2.393866E-6,-1.888607E+1
4.766186E+1,3.480600E+3,2.741830E-6,-1.907360E-6,3.340008E-6,-3.482449E+1
4.786192E+1,3.491500E+3,2.235190E-6,-2.324600E-6,3.224878E-6,-4.612333E+1
4.806288E+1,3.511300E+3,-2.384200E-7,-5.364450E-7,5.870412E-7,-1.139625E+2
4.826198E+1,3.521700E+3,2.980250E-7,2.980250E-7,4.214710E-7,4.500000E+1
4.846188E+1,3.541800E+3,2.712030E-6,1.430520E-6,3.066186E-6,2.781039E+1
4.866288E+1,3.551600E+3,2.741830E-6,2.741830E-6,3.877533E-6,4.500000E+1
4.886188E+1,3.572100E+3,1.311310E-6,2.682220E-6,2.985605E-6,6.394646E+1
4.906191E+1,3.581300E+3,-3.576300E-7,1.728540E-6,1.765149E-6,1.016894E+2
4.926288E+1,3.602400E+3,1.788150E-7,6.854570E-7,7.083969E-7,7.537912E+1
4.946288E+1,3.614500E+3,6.556550E-7,-2.384200E-7,6.976586E-7,-1.998311E+1
4.966287E+1,3.635000E+3,-2.622620E-6,-2.086170E-7,2.630904E-6,-1.754520E+2
4.986191E+1,3.644500E+3,-3.933940E-6,3.576300E-7,3.950162E-6,1.748056E+2
5.006188E+1,3.665400E+3,-4.023340E-6,-2.384200E-7,4.030398E-6,-1.766087E+2
5.026192E+1,3.674500E+3,-3.308070E-6,6.556550E-7,3.372419E-6,1.687893E+2
5.046188E+1,3.684700E+3,-2.354400E-6,6.258520E-7,2.436163E-6,1.651138E+2
5.066188E+1,3.704600E+3,-1.937170E-6,-1.788150E-7,1.945405E-6,-1.747261E+2
5.086290E+1,3.715300E+3,-1.251700E-6,-1.311310E-6,1.812812E-6,-1.336677E+2
5.106188E+1,3.737100E+3,-4.470370E-7,-1.579530E-6,1.641572E-6,-1.058025E+2
5.126288E+1,3.747100E+3,5.364450E-7,-1.043090E-6,1.172949E-6,-6.278395E+1
5.146192E+1,3.767100E+3,1.817950E-6,9.238760E-7,2.039237E-6,2.693952E+1
5.166297E+1,3.777600E+3,2.056370E-6,1.698740E-6,2.667279E-6,3.955966E+1
5.186191E+1,3.788300E+3,1.043090E-6,1.877550E-6,2.147843E-6,6.094524E+1
5.206293E+1,3.810000E+3,-5.364450E-7,2.443800E-6,2.501986E-6,1.023808E+2
